,EURUSD Curncy,JPYUSD Curncy,GBPUSD Curncy,CHFUSD Curncy,CADUSD Curncy,AUDUSD Curncy,HKDUSD Curncy,NOKUSD Curncy,SEKUSD Curncy
29/01/1975,1.3461,0.003363,2.37,0.3985,1.0034,1.3395,#N/A N/A,0.1971,0.248998
30/01/1975,1.3481,0.003358,2.3765,0.401,1.0017,1.3375,#N/A N/A,0.198,0.248998
31/01/1975,1.3472,0.003356,2.3825,0.4007,1.0005,1.336,#N/A N/A,0.1975,0.249097
03/02/1975,1.3423,0.003362,2.375,0.3968,1.0001,1.34,#N/A N/A,0.1986,0.250401
04/02/1975,1.3301,0.003366,2.369,0.3925,1.0009,1.3375,#N/A N/A,0.1962,0.246299
05/02/1975,1.331,0.003364,2.368,0.3936,1.0011,1.3345,#N/A N/A,0.1958,0.246002
06/02/1975,1.3342,0.003367,2.371,0.3956,1.0009,1.3345,#N/A N/A,0.1968,0.246901
07/02/1975,1.3374,0.003383,2.374,0.3967,0.9992,1.337,#N/A N/A,0.1971,0.247997
10/02/1975,1.3439,0.00342,2.3875,0.3995,0.9974,1.343,#N/A N/A,0.1966,0.249401
11/02/1975,1.3445,0.003429,2.384,0.399,0.9974,1.3455,#N/A N/A,0.1982,0.249501
12/02/1975,1.3464,0.003429,2.384,0.399,0.9974,#N/A N/A,#N/A N/A,0.1982,0.249501
13/02/1975,1.3545,0.003415,2.3895,0.4045,0.9977,1.3455,#N/A N/A,0.2001,0.250501
14/02/1975,1.3547,0.00341,2.3905,0.4052,0.9979,1.3475,#N/A N/A,0.2,0.251301
17/02/1975,1.3585,0.00341,2.3905,0.4052,0.9979,#N/A N/A,#N/A N/A,0.2,0.251301
18/02/1975,1.3576,0.003409,2.3933,0.4053,0.9979,1.3475,#N/A N/A,0.1997,0.251902
19/02/1975,1.3559,0.00343,2.398,0.4032,0.9977,1.3475,#N/A N/A,0.1999,0.2518
20/02/1975,1.3631,0.003435,2.4005,0.408,0.9984,1.35,#N/A N/A,0.2,0.253299
21/02/1975,1.3641,0.003454,2.4027,0.4083,0.9999,1.352,#N/A N/A,0.2013,0.253402
24/02/1975,1.3733,0.003498,2.4195,0.4114,0.9997,1.355,#N/A N/A,0.202,0.2552
25/02/1975,1.3691,0.003497,2.416,0.4124,1.0026,1.359,#N/A N/A,0.2023,0.2552
26/02/1975,1.3782,0.003501,2.426,0.4154,1.0034,1.3605,#N/A N/A,0.2032,0.2552
27/02/1975,1.3841,0.003498,2.4305,0.4175,1.0021,1.364,#N/A N/A,0.204,0.256102
28/02/1975,1.3847,0.003491,2.43,0.4161,1.0018,1.364,#N/A N/A,0.204,0.256502
03/03/1975,1.3862,0.003504,2.4318,0.4163,1.0014,1.364,#N/A N/A,0.205,0.258598
04/03/1975,1.3787,0.003513,2.4285,0.4094,1.0022,1.364,#N/A N/A,0.2047,0.257102
05/03/1975,1.3801,0.003506,2.4315,0.4104,1.0022,1.3655,#N/A N/A,0.2046,0.2562
